,id,budget_adj,revenue_adj,production_company
4,168259,174799923.088,1385748801.47,Universal Pictures
6,87101,142599937.256,405355075.684,Paramount Pictures
8,211672,68079970.0448,1064192016.8,Universal Pictures
24,318846,25759988.6656,122678731.541,Paramount Pictures
25,177677,137999939.28,627743451.673,Paramount Pictures
26,214756,62559972.4736,198594430.138,Universal Pictures
32,254470,26679988.2608,264505582.098,Universal Pictures
42,321697,27599987.856,31686509.2179,Universal Pictures
52,253412,50599977.736,187153294.933,Universal Pictures
59,201088,64399971.664,16332697.6136,Universal Pictures
69,271718,32199985.832,129532072.566,Universal Pictures
91,274167,45999979.76,221131463.342,Paramount Pictures
102,241251,3679998.3808,46150034.454,Universal Pictures
106,273477,13799993.928,13671898.7044,Paramount Pictures
110,287903,13799993.928,56624785.5251,Universal Pictures
116,297291,0.0,0.0,Universal Pictures
118,227719,11039995.1424,29668368.6659,Paramount Pictures
124,146301,9199995.952,71851557.1453,Paramount Pictures
129,228165,68079970.0448,286666383.307,Paramount Pictures
211,243938,12879994.3328,11329473.935,Paramount Pictures
285,266639,4599997.976,2146988.33533,Universal Pictures
401,347754,0.0,0.0,Universal Pictures
412,343934,0.0,0.0,Paramount Pictures
565,157336,151980023.377,572690645.123,Paramount Pictures
580,240832,36843642.0309,426796807.314,Universal Pictures
581,98566,115136381.346,439544649.428,Paramount Pictures
584,91314,193429120.662,226127852.964,Paramount Pictures
598,242512,4605455.25386,94439261.8745,Universal Pictures
607,49017,64476373.554,198522018.221,Universal Pictures
617,238636,8289819.45694,100198906.849,Universal Pictures
621,184315,92109105.0771,224193561.758,Paramount Pictures
622,86834,115136381.346,334022131.055,Paramount Pictures
626,195589,16579638.9139,246997381.338,Universal Pictures
632,168530,23027276.2693,141846012.919,Universal Pictures
635,137094,55265463.0463,46560330.0822,Paramount Pictures
691,226857,18421821.0154,31388867.1409,Universal Pictures
775,284296,0.0,23427297.8228,Paramount Pictures
805,243684,0.0,424772.191156,Paramount Pictures
811,227300,0.0,0.0,Universal Pictures
907,284536,23027276.2693,36080177.2916,Paramount Pictures
1051,285423,0.0,0.0,Universal Pictures
1107,260535,7368728.40617,0.0,Universal Pictures
1130,298931,0.0,0.0,Universal Pictures
1217,11009,12592233.614,853081315.968,Paramount Pictures
1219,11006,0.0,455973514.575,Universal Pictures
1224,11590,0.0,100737868.912,Universal Pictures
1229,7227,21586686.1954,107933430.977,Universal Pictures
1236,50374,0.0,0.0,Paramount Pictures
1241,38985,79151182.7165,43173372.3908,Paramount Pictures
1246,24655,0.0,0.0,Universal Pictures
1248,10670,0.0,0.0,Universal Pictures
1256,18196,0.0,10.7933430977,Universal Pictures
1262,16869,71148030.3887,324364937.763,Universal Pictures
1266,13475,152460065.119,392005772.748,Paramount Pictures
