,id,budget_adj,revenue_adj,vote_average,runtime,type,production_company
0,135397,137999939.28,1392445892.52,6.5,124,original,Universal Studios
1,76341,137999939.28,348161292.489,7.1,120,original,Village Roadshow Pictures
2,262500,101199955.472,271619025.408,6.3,119,rearrange,Summit Entertainment
3,140607,183999919.04,1902723129.8,7.5,136,original,Lucasfilm
4,168259,174799923.088,1385748801.47,7.3,137,original,Universal Pictures
5,281957,124199945.352,490314247.022,7.2,156,rearrange,Regency Enterprises
6,87101,142599937.256,405355075.684,5.8,125,original,Paramount Pictures
7,286217,99359956.2816,547749654.31,7.6,141,rearrange,Twentieth Century Fox Film Corporation
8,211672,68079970.0448,1064192016.8,6.5,91,original,Universal Pictures
9,150540,160999929.16,785411574.699,8.0,94,original,Walt Disney Pictures
10,206647,225399900.824,810220283.783,6.2,148,rearrange,Columbia Pictures
11,76757,161919931.515,169268630.682,5.2,124,original,Village Roadshow Pictures
12,264660,13799993.928,33919845.9553,7.6,108,original,DNA Films
13,257344,80959964.3776,224146025.096,5.8,105,original,Columbia Pictures
14,99861,257599886.656,1292632336.88,7.4,141,original,Marvel Studios
15,273248,40479982.1888,143299244.588,7.4,167,original,Double Feature Films
16,260346,44159980.5696,299709578.208,6.1,109,original,Twentieth Century Fox Film Corporation
17,102899,119599947.376,477113780.03,7.0,115,original,Marvel Studios
18,150689,87399961.544,498963025.216,6.8,112,original,Walt Disney Pictures
19,131634,147199935.232,598481289.508,6.5,136,original,Studio Babelsberg
20,158852,174799923.088,192312729.942,6.2,130,original,Walt Disney Pictures
21,307081,27599987.856,84373003.7159,7.3,123,original,Escape Artists
22,254128,101199955.472,432851374.985,6.1,114,original,New Line Cinema
23,216015,36799983.808,524079119.045,5.3,125,rearrange,Focus Features
24,318846,25759988.6656,122678731.541,7.3,130,original,Paramount Pictures
25,177677,137999939.28,627743451.673,7.1,131,original,Paramount Pictures
26,214756,62559972.4736,198594430.138,6.3,115,original,Universal Pictures
27,207703,74519967.2112,371497801.661,7.6,130,original,Twentieth Century Fox Film Corporation
28,314365,18399991.904,81278719.3974,7.8,128,original,Participant Media
29,294254,56119975.3072,286356245.923,6.4,132,rearrange,Gotham Group
30,280996,0.0,27006774.877,6.4,103,original,BBC Films
31,198184,45079980.1648,93903685.2424,6.6,120,original,Columbia Pictures
32,254470,26679988.2608,264505582.098,6.8,115,original,Universal Pictures
33,296098,36799983.808,149601569.335,7.1,141,original,DreamWorks SKG
34,257445,53359976.5216,138157089.011,6.2,103,rearrange,Columbia Pictures
35,264644,5519997.5712,32569603.0294,8.0,117,rearrange,Element Pictures
36,339527,0.0,20566197.1909,6.2,101,original,Eden Rock Media
37,105864,160999929.16,305371920.876,6.6,93,original,Walt Disney Pictures
38,241554,45999979.76,65836683.5119,6.3,114,original,Vertigo Entertainment
39,167073,10119995.5472,57110024.5916,7.3,111,rearrange,Wildgaze Films
40,277216,25759988.6656,185504110.098,7.7,147,original,New Line Cinema
41,274854,82799963.568,129164861.167,5.6,106,original,Summit Entertainment
42,321697,27599987.856,31686509.2179,6.9,122,original,Universal Pictures
43,203801,68999969.64,99493456.5029,7.0,116,original,Davis Entertainment
44,293863,22999989.88,39219376.6635,7.3,112,original,Lakeshore Entertainment
45,325348,9199995.952,13187080.9977,5.9,97,original,Bazelevs Production
46,228161,124199945.352,339361177.121,6.9,94,original,Twentieth Century Fox Film Corporation
47,286565,11039995.1424,78671281.3846,6.2,109,original,Fox 2000 Pictures
48,265208,27599987.856,0.0,5.3,92,original,Current Entertainment
49,254320,3679998.3808,8339346.45069,6.6,118,original,Haut et Court
50,258480,10855995.2234,37050347.8978,7.1,118,original,Killer Films
51,257211,32199985.832,178999419.48,7.1,121,original,Waverly Films
52,253412,50599977.736,187153294.933,6.7,121,original,Universal Pictures
53,274479,55199975.712,93043293.341,6.4,124,original,Fox 2000 Pictures
54,257088,96599957.496,123021159.991,5.5,114,original,Studio Babelsberg
55,295964,18399991.904,33678188.7416,6.3,100,original,Double Feature Films
56,238615,23919989.4752,28081355.5642,6.2,116,original,Endgame Entertainment
57,210860,55199975.712,27985062.8866,5.3,106,rearrange,Lionsgate
58,306819,13799993.928,59056175.1753,7.3,120,original,Pretty Pictures
59,201088,64399971.664,16332697.6136,5.0,133,original,Universal Pictures
60,273481,27599987.856,77303716.7064,7.1,121,original,Lionsgate
61,166424,110399952.344,154539320.323,4.4,100,original,Twentieth Century Fox Film Corporation
62,310131,3219998.5832,37190013.0364,5.8,92,original,Parts and Labor
63,238713,59799973.688,216812826.082,6.9,120,original,Twentieth Century Fox Film Corporation
64,256591,46091979.7195,141645863.636,6.7,105,original,Kramer & Sigman Films
65,249070,32199985.832,75759810.1857,5.5,96,original,Twentieth Century Fox Film Corporation
66,205775,91999959.52,86315059.3814,6.4,122,original,Imagine Entertainment
67,334074,18399991.904,0.0,5.4,96,original,Nu Image Films
68,312221,32199985.832,126900665.804,7.3,133,original,New Line Cinema
69,271718,32199985.832,129532072.566,6.1,125,original,Universal Pictures
70,333352,11959994.7376,30220316.9031,7.2,102,original,Entertainment One
71,276907,22999989.88,39535137.0845,6.7,131,original,Working Title Films
72,284289,0.0,42223.3814217,5.5,95,original,Furthur Films
73,266647,137999939.28,118117202.428,5.9,111,original,Warner Bros.
74,347096,0.0,0.0,5.1,108,original,Arrowstorm Entertainment
75,308369,0.0,0.0,7.7,105,original,Indian Paintbrush
76,227973,91079959.9248,226534364.285,6.4,88,original,Blue Sky Studios
77,321741,32199985.832,44733666.5572,6.9,123,original,Village Roadshow Pictures
78,296100,22999989.88,48204295.1101,6.1,100,original,Sony Pictures
79,263472,2299998.988,4796917.44936,4.8,99,original,Universum Film (UFA)
80,228205,31279986.2368,57972193.0122,7.3,128,rearrange,Fox 2000 Pictures
81,159824,73599967.616,428888671.769,6.8,89,original,Columbia Pictures
82,333348,15639993.1184,22079990.2848,5.3,107,original,Imagine Entertainment
83,285783,32199985.832,56287361.8736,6.8,123,original,TriStar Pictures
84,290764,10119995.5472,1714249.04573,5.9,94,original,Temple Hill Entertainment
85,296099,28519987.4512,96033410.7053,6.1,99,original,New Line Cinema
86,243688,32199985.832,87802915.8467,5.0,93,original,Ghost House Pictures
87,287424,3679998.3808,172142.964257,5.1,95,original,Lionsgate
88,301875,0.0,1839999.1904,5.6,101,original,Scott Free Productions
89,181283,45999979.76,3058382.25431,5.9,137,original,Summit Entertainment
90,328425,4599997.976,54260336.8855,6.6,108,original,Blumhouse Productions
91,274167,45999979.76,221131463.342,5.7,96,original,Paramount Pictures
92,370687,0.0,0.0,5.4,0,original,Arrowstorm Entertainment
93,307663,9199995.952,0.0,4.1,96,original,Grindstone Entertainment Group
94,309809,58879974.0928,89765510.5032,7.5,92,original,Onyx Films
95,258509,0.0,215055014.136,5.7,92,original,Regency Enterprises
96,298382,10975595.1707,16872792.576,6.9,118,rearrange,Amazon Studios
97,272693,7819996.5592,40046325.6596,6.8,100,original,Wonderland Sound and Vision
98,283445,9199995.952,48651435.1534,5.5,97,original,Alliance Films
99,256961,27599987.856,98989419.0847,5.3,94,original,Columbia Pictures
100,326359,0.0,0.0,7.0,8,original,Walt Disney Pictures
101,254302,0.0,0.0,5.4,119,original,Ingenious Media
102,241251,3679998.3808,46150034.454,3.9,91,original,Universal Pictures
103,292040,0.0,0.0,5.6,104,original,BBC Films
104,188222,27599987.856,45322311.7382,6.2,104,original,Warner Bros.
105,252838,21159990.6896,73415857.297,6.5,101,original,Miramax Films
106,273477,13799993.928,13671898.7044,6.2,93,original,Paramount Pictures
107,298312,4599997.976,90574017.1874,5.9,94,original,Blumhouse Productions
108,261023,48759978.5456,91793583.3708,6.3,122,original,Infinitum Nihil
109,336004,8187996.39728,46125.099705,5.4,93,original,Emmett/Furla Films
110,287903,13799993.928,56624785.5251,5.9,98,original,Universal Pictures
111,182560,18399991.904,191900.875564,5.7,113,rearrange,Denver and Delilah Productions
112,192141,4599997.976,50065340.2113,6.7,103,original,Bold Films
113,308639,643999.71664,16547831.239,7.3,103,original,Forest Whitaker's Significant Productions
114,261392,25759988.6656,25951426.7814,5.9,96,original,Concorde Filmverleih
115,304357,10119995.5472,56690166.2163,7.3,120,original,BBC Films
116,297291,0.0,0.0,4.5,105,original,Universal Pictures
117,266294,27599987.856,96610126.2515,5.9,118,original,Little Stranger
118,227719,11039995.1424,29668368.6659,6.3,106,original,Paramount Pictures
119,86828,0.0,4774472.21923,5.8,85,original,Premiere Picture
120,287948,22999989.88,66819266.9995,5.3,96,original,EuropaCorp
121,201085,50599977.736,68705406.0096,6.4,119,original,Legendary Pictures
122,277355,0.0,0.0,5.1,90,original,Crime Scene Pictures
123,264999,13615994.009,112619962.887,6.3,115,original,Warner Bros.
124,146301,9199995.952,71851557.1453,5.0,88,original,Paramount Pictures
125,223485,0.0,210766.387263,6.6,84,original,The New Zealand Film Commission
126,294016,13799993.928,7576804.78621,7.2,124,original,Groundswell Productions
127,290751,17939992.1064,29614535.8096,6.2,111,original,Ingenious Media
128,309245,0.0,2300395.50783,6.4,84,original,RT Features
129,228165,68079970.0448,286666383.307,5.7,93,original,Paramount Pictures
130,272878,18399991.904,40449856.8021,7.0,111,original,Sunswept Entertainment
131,263109,0.0,54923975.8335,6.9,85,original,Aardman Animations
132,157827,10119995.5472,0.0,6.3,109,original,Motlys
133,321751,0.0,1566237.67086,6.3,106,original,Reposado Producciones
134,266396,36799983.808,9811564.76291,5.6,115,original,StudioCanal
135,277685,919999.5952,57851497.3453,5.6,82,original,Bazelevs Production
136,268920,32199985.832,47545763.9999,5.5,87,original,New Line Cinema
137,280092,9199995.952,95959500.6978,6.3,97,original,Sony Pictures
138,193687,0.0,109004.312038,5.5,97,rearrange,Palomar Pictures
139,300803,0.0,0.0,4.5,97,original,Raffaella Productions
140,328589,5519997.5712,38076655.2863,5.9,104,rearrange,BBC Films
141,228066,36799983.808,31489100.3048,5.5,109,original,Twentieth Century Fox Film Corporation
142,378373,0.0,0.0,7.5,98,original,Terra Mater Factual Studios
143,291270,7359996.7616,3458541.59824,6.7,90,original,Starburns Industries
144,294963,1655999.27136,0.0,6.3,132,original,Caliber Media Company
145,241257,0.0,16257405.7667,5.2,106,original,The Weinstein Company
146,245698,0.0,0.0,6.6,114,original,Material Pictures
147,353326,0.0,10554653.036,7.1,108,original,Animus Films
148,250124,1839999.1904,1358841.24211,6.8,102,original,Caviar Films
149,290637,0.0,0.0,5.3,94,original,Voltage Films
150,244458,0.0,0.0,6.0,101,original,Studio Babelsberg
151,308504,0.0,3352102.24508,6.3,115,original,Czech Anglo Productions
152,157843,13799993.928,0.0,6.0,128,original,Benaroya Pictures
153,275601,16559992.7136,38019285.0315,5.5,100,original,Columbia TriStar
154,290762,0.0,0.0,7.2,112,original,S Films
155,251516,579617.224968,0.0,7.7,31,original,Laser Unicorns
156,324807,0.0,1781601.2961,5.8,120,original,StudioCanal
157,252512,9199995.952,6980483.12859,5.9,97,original,Scott Rudin Productions
158,257091,36799983.808,97990493.6442,5.9,100,original,Gary Sanchez Productions
159,347969,55199975.712,0.0,4.8,119,original,Happy Madison Productions
160,237756,0.0,0.0,5.1,90,original,Parabolic Pictures
161,293646,22999989.88,22910495.0794,5.8,120,original,Alcon Entertainment
162,245168,12879994.3328,14722219.9222,7.1,106,original,Ruby Films
163,311291,0.0,0.0,6.0,95,original,The Bureau
164,301351,5519997.5712,10232318.2978,6.2,96,original,Working Title Films
165,248574,0.0,5588.99754084,5.5,96,original,A24
166,225728,0.0,12137055.0997,6.4,113,original,Studio Canal
167,326425,0.0,15432.9932095,4.2,83,original,Emmett/Furla Films
168,342474,0.0,0.0,5.2,94,original,MM Productions
169,277217,0.0,0.0,6.7,112,original,Walt Disney Television
170,207936,0.0,0.0,6.6,105,original,Echo Films
171,250734,0.0,27811566.6029,6.9,119,original,Fox Searchlight Pictures
172,268238,9199995.952,79099969.916,6.4,122,original,Participant Media
173,322456,0.0,0.0,6.4,48,original,Warner Bros. Animation
174,222936,34039985.0224,24150007.774,5.2,105,original,Columbia Pictures
175,316002,23919989.4752,0.0,3.6,100,original,K. JAM Media
176,365806,0.0,0.0,5.3,67,rearrange,343 Industries
177,10317,25759988.6656,6442077.28549,5.7,108,original,Participant Media
178,334538,0.0,0.0,5.1,101,rearrange,Rhombus Media
179,306947,0.0,213197.946193,6.4,100,original,Pandastorm Pictures
180,382517,0.0,0.0,5.6,85,original,Sony Pictures Animation
181,310133,0.0,123787.785533,5.5,86,original,Park Pictures
182,288036,0.0,2956985.41893,6.2,100,original,Sidney Kimmel Entertainment
183,331781,0.0,7740089.07436,7.5,128,original,On The Corner Films
184,253161,0.0,0.0,5.3,118,original,A Company Filmproduktionsgesellschaft
185,312831,0.0,0.0,4.9,97,original,Prescience
186,316322,0.0,0.0,5.5,74,original,Mattel Playground Productions
187,301846,0.0,0.0,4.9,89,original,Starchild Pictures
188,306745,6439997.1664,527467.967914,7.1,103,original,Double Feature Films
189,332340,0.0,0.0,6.5,88,original,Big Talk Productions
190,292431,2759998.7856,639647.198555,4.7,134,original,Wild Bunch
191,300693,8831996.11392,2338228.65118,6.4,121,original,Echo Lake Entertainment
192,333381,0.0,0.0,5.0,95,original,Voltage Pictures
193,256924,9199995.952,9968887.45369,6.6,107,original,Big Indie Pictures
194,253414,13799993.928,2779009.65724,5.1,100,original,Shangri-La Entertainment
195,254172,2060799.09325,0.0,7.0,116,original,Andrea Leone Films
196,320588,919999.5952,13289393.2327,6.6,95,original,Red Crown Productions
197,157544,11959994.7376,1641981.23753,4.5,91,original,Lakeshore Entertainment
198,283235,7359996.7616,1298972.26845,6.8,112,original,Imagenation Abu Dhabi FZ
199,243938,12879994.3328,11329473.935,5.0,93,original,Paramount Pictures
200,86835,0.0,0.0,5.7,118,original,Waypoint Entertainment
201,309242,0.0,0.0,5.7,108,original,Electric City Entertainment
202,332502,0.0,0.0,4.2,91,original,New Artists Alliance
203,286192,0.0,0.0,7.3,7,original,Pixar Animation Studios
204,338676,0.0,0.0,5.3,110,original,Vaca Films
205,232572,7359996.7616,33111785.4708,5.4,104,original,Wildwood Enterprises
206,112454,0.0,0.0,5.2,100,original,Zed Filmworks
207,243940,3035998.66416,58981843.808,4.9,83,original,Lionsgate
208,321528,0.0,0.0,6.8,72,original,Warner Bros. Animation
209,317744,7359996.7616,0.0,5.4,91,original,Hyde Park Entertainment
210,239573,32199985.832,13276746.9182,4.9,90,original,Studio Babelsberg
211,167810,1839999.1904,41796.5016095,5.7,95,original,Bold Films
212,334527,6439997.1664,0.0,5.9,94,original,NeeNee Productions
213,300153,11039995.1424,0.0,5.9,112,original,See-Saw Films
214,228203,0.0,42053235.7766,7.4,128,original,Walt Disney Pictures
215,278236,0.0,0.0,6.0,111,original,Original Pictures
216,276839,2759998.7856,0.0,4.9,98,original,Darko Entertainment
217,326215,5519997.5712,0.0,5.7,85,original,Skyline Entertainment
218,318256,0.0,0.0,5.9,84,original,Two to Tangle Productions
219,299245,91999.95952,39251239.9295,5.0,87,original,New Line Cinema
