,id,popularity,vote_average,budget_adj,revenue_adj
0,135397,32.985763,6.5,137999939.28,1392445892.52
1,76341,28.419936,7.1,137999939.28,348161292.489
2,262500,13.112507,6.3,101199955.472,271619025.408
3,140607,11.173104,7.5,183999919.04,1902723129.8
4,168259,9.335014,7.3,174799923.088,1385748801.47
5,281957,9.1107,7.2,124199945.352,490314247.022
6,87101,8.654359,5.8,142599937.256,405355075.684
7,286217,7.6674,7.6,99359956.2816,547749654.31
8,211672,7.404165,6.5,68079970.0448,1064192016.8
9,150540,6.326804,8.0,160999929.16,785411574.699
10,206647,6.200282,6.2,225399900.824,810220283.783
11,76757,6.189369,5.2,161919931.515,169268630.682
12,264660,6.118847,7.6,13799993.928,33919845.9553
13,257344,5.984995,5.8,80959964.3776,224146025.096
14,99861,5.944927,7.4,257599886.656,1292632336.88
15,273248,5.8984,7.4,40479982.1888,143299244.588
16,260346,5.749758,6.1,44159980.5696,299709578.208
17,102899,5.573184,7.0,119599947.376,477113780.03
18,150689,5.556818,6.8,87399961.544,498963025.216
19,131634,5.476958,6.5,147199935.232,598481289.508
20,158852,5.462138,6.2,174799923.088,192312729.942
21,307081,5.337064,7.3,27599987.856,84373003.7159
22,254128,4.907832,6.1,101199955.472,432851374.985
23,216015,4.710402,5.3,36799983.808,524079119.045
24,318846,4.648046,7.3,25759988.6656,122678731.541
25,177677,4.566713,7.1,137999939.28,627743451.673
26,214756,4.564549,6.3,62559972.4736,198594430.138
27,207703,4.503789,7.6,74519967.2112,371497801.661
28,314365,4.062293,7.8,18399991.904,81278719.3974
29,294254,3.968891,6.4,56119975.3072,286356245.923
30,280996,3.927333,6.4,0.0,27006774.877
31,198184,3.899557,6.6,45079980.1648,93903685.2424
32,254470,3.877764,6.8,26679988.2608,264505582.098
33,296098,3.64821,7.1,36799983.808,149601569.335
34,257445,3.644541,6.2,53359976.5216,138157089.011
35,264644,3.557846,8.0,5519997.5712,32569603.0294
36,339527,3.358321,6.2,0.0,20566197.1909
37,105864,3.339135,6.6,160999929.16,305371920.876
38,241554,3.23737,6.3,45999979.76,65836683.5119
39,167073,3.227329,7.3,10119995.5472,57110024.5916
40,277216,3.202719,7.7,25759988.6656,185504110.098
41,274854,3.080505,5.6,82799963.568,129164861.167
42,321697,3.079522,6.9,27599987.856,31686509.2179
43,203801,3.053421,7.0,68999969.64,99493456.5029
44,293863,3.025852,7.3,22999989.88,39219376.6635
45,325348,3.023253,5.9,9199995.952,13187080.9977
46,228161,2.976436,6.9,124199945.352,339361177.121
47,286565,2.968254,6.2,11039995.1424,78671281.3846
48,265208,2.93234,5.3,27599987.856,0.0
49,254320,2.885126,6.6,3679998.3808,8339346.45069
50,258480,2.883233,7.1,10855995.2234,37050347.8978
51,257211,2.814802,7.1,32199985.832,178999419.48
52,253412,2.798017,6.7,50599977.736,187153294.933
53,274479,2.793297,6.4,55199975.712,93043293.341
54,257088,2.614499,5.5,96599957.496,123021159.991
55,295964,2.584264,6.3,18399991.904,33678188.7416
56,238615,2.578919,6.2,23919989.4752,28081355.5642
57,210860,2.575711,5.3,55199975.712,27985062.8866
58,306819,2.557859,7.3,13799993.928,59056175.1753
59,201088,2.550747,5.0,64399971.664,16332697.6136
60,273481,2.487849,7.1,27599987.856,77303716.7064
61,166424,2.487042,4.4,110399952.344,154539320.323
62,310131,2.46449,5.8,3219998.5832,37190013.0364
63,238713,2.404473,6.9,59799973.688,216812826.082
64,256591,2.395366,6.7,46091979.7195,141645863.636
65,249070,2.354654,5.5,32199985.832,75759810.1857
66,205775,2.345821,6.4,91999959.52,86315059.3814
67,334074,2.331636,5.4,18399991.904,0.0
68,312221,2.331567,7.3,32199985.832,126900665.804
69,271718,2.31767,6.1,32199985.832,129532072.566
70,333352,2.29573,7.2,11959994.7376,30220316.9031
71,276907,2.28135,6.7,22999989.88,39535137.0845
72,284289,2.272044,5.5,0.0,42223.3814217
73,266647,2.234573,5.9,137999939.28,118117202.428
74,347096,2.165433,5.1,0.0,0.0
75,308369,2.141506,7.7,0.0,0.0
76,227973,2.140199,6.4,91079959.9248,226534364.285
77,321741,2.121884,6.9,32199985.832,44733666.5572
78,296100,2.096273,6.1,22999989.88,48204295.1101
79,263472,2.080935,4.8,2299998.988,4796917.44936
80,228205,2.070708,7.3,31279986.2368,57972193.0122
81,159824,2.060162,6.8,73599967.616,428888671.769
82,333348,2.055572,5.3,15639993.1184,22079990.2848
83,285783,2.049886,6.8,32199985.832,56287361.8736
84,290764,2.026651,5.9,10119995.5472,1714249.04573
85,296099,2.000338,6.1,28519987.4512,96033410.7053
86,243688,1.984529,5.0,32199985.832,87802915.8467
87,287424,1.980039,5.1,3679998.3808,172142.964257
88,301875,1.959765,5.6,0.0,1839999.1904
89,181283,1.95632,5.9,45999979.76,3058382.25431
90,328425,1.926739,6.6,4599997.976,54260336.8855
91,274167,1.904898,5.7,45999979.76,221131463.342
92,370687,1.876037,5.4,0.0,0.0
93,307663,1.872696,4.1,9199995.952,0.0
94,309809,1.865007,7.5,58879974.0928,89765510.5032
95,258509,1.841779,5.7,0.0,215055014.136
96,298382,1.82313,6.9,10975595.1707,16872792.576
97,272693,1.758618,6.8,7819996.5592,40046325.6596
98,283445,1.742286,5.5,9199995.952,48651435.1534
99,256961,1.73518,5.3,27599987.856,98989419.0847
100,326359,1.724712,7.0,0.0,0.0
101,254302,1.661789,5.4,0.0,0.0
102,241251,1.651078,3.9,3679998.3808,46150034.454
103,292040,1.646664,5.6,0.0,0.0
104,188222,1.532997,6.2,27599987.856,45322311.7382
105,252838,1.510096,6.5,21159990.6896,73415857.297
106,273477,1.499614,6.2,13799993.928,13671898.7044
107,298312,1.495112,5.9,4599997.976,90574017.1874
108,261023,1.483246,6.3,48759978.5456,91793583.3708
109,336004,1.449072,5.4,8187996.39728,46125.099705
110,287903,1.448002,5.9,13799993.928,56624785.5251
111,182560,1.443406,5.7,18399991.904,191900.875564
112,192141,1.41239,6.7,4599997.976,50065340.2113
113,308639,1.40805,7.3,643999.71664,16547831.239
114,261392,1.388251,5.9,25759988.6656,25951426.7814
115,304357,1.388032,7.3,10119995.5472,56690166.2163
116,297291,1.38032,4.5,0.0,0.0
117,266294,1.376605,5.9,27599987.856,96610126.2515
118,227719,1.360926,6.3,11039995.1424,29668368.6659
119,86828,1.360827,5.8,0.0,4774472.21923
120,287948,1.355822,5.3,22999989.88,66819266.9995
121,201085,1.345982,6.4,50599977.736,68705406.0096
122,277355,1.342839,5.1,0.0,0.0
123,264999,1.338481,6.3,13615994.009,112619962.887
124,146301,1.338322,5.0,9199995.952,71851557.1453
125,223485,1.329702,6.6,0.0,210766.387263
126,294016,1.316239,7.2,13799993.928,7576804.78621
127,290751,1.315266,6.2,17939992.1064,29614535.8096
128,309245,1.29314,6.4,0.0,2300395.50783
129,228165,1.291013,5.7,68079970.0448,286666383.307
130,245706,1.284541,6.0,0.0,4342117.48947
131,272878,1.278928,7.0,18399991.904,40449856.8021
132,263109,1.25358,6.9,0.0,54923975.8335
133,157827,1.251681,6.3,10119995.5472,0.0
134,321751,1.245224,6.3,0.0,1566237.67086
135,266396,1.225325,5.6,36799983.808,9811564.76291
136,277685,1.191138,5.6,919999.5952,57851497.3453
137,268920,1.178831,5.5,32199985.832,47545763.9999
138,280092,1.164724,6.3,9199995.952,95959500.6978
139,193687,1.161812,5.5,0.0,109004.312038
140,300803,1.144808,4.5,0.0,0.0
141,328589,1.142518,5.9,5519997.5712,38076655.2863
142,228066,1.138395,5.5,36799983.808,31489100.3048
143,378373,1.128081,7.5,0.0,0.0
144,291270,1.125239,6.7,7359996.7616,3458541.59824
145,294963,1.073349,6.3,1655999.27136,0.0
146,241257,1.065888,5.2,0.0,16257405.7667
147,245698,1.063055,6.6,0.0,0.0
148,353326,1.046518,7.1,0.0,10554653.036
149,346808,1.041922,5.8,18399991.904,0.0
150,250124,1.03839,6.8,1839999.1904,1358841.24211
151,290637,1.036825,5.3,0.0,0.0
152,244458,1.02762,6.0,0.0,0.0
153,308504,1.021441,6.3,0.0,3352102.24508
154,314405,1.008474,5.7,11039995.1424,0.0
155,282984,1.007054,6.1,10119995.5472,25199786.1921
156,157843,0.973316,6.0,13799993.928,0.0
